Model,Target,R2_mean,R2_std,RMSE_mean
XGBoost,TA,0.7778861885899235,0.03392588060453348,34.49087863207571
XGBoost,EC,0.7457581654222301,0.0910229625933332,168.64841056624658
XGBoost,DRP,0.44551165586585845,0.08965367371901632,37.106318200077034
LightGBM,TA,0.7862625110980075,0.036810669424615326,33.81282191283428
LightGBM,EC,0.7404098588383808,0.0964058098106149,170.22053750812256
LightGBM,DRP,0.43028208448297145,0.05126975805756965,37.77114995319151
HistGradientBoosting,TA,0.779191577773705,0.04126163257081905,34.315535602197116
HistGradientBoosting,EC,0.732397406513304,0.10710019140761713,172.36087883862197
HistGradientBoosting,DRP,0.43464289732548317,0.0994536090705371,37.418054421364204
